0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:51 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:51 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:51 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:04 +0200] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:04 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:04 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:04 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:07 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:07 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:07 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:09 +0200] "GET /signup/registration.jsp HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:09 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:09 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:42 +0200] "POST /signup/register HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:42 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:42 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:46 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:46 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:46 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:31:55 +0200] "POST /signup/login HTTP/1.1" 200 23789
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:32:04 +0200] "GET /signup/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:32:05 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:32:05 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:32:05 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:32:47 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:32:47 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:32:47 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:05 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:05 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:05 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:31 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:31 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:31 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:32 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:32 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:33:32 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
